title,latitude,longitude,page,url
Hells Half Acre,45.64579,-114.62838,hellshalfacre.html,http://www.firelookout.com/id/hellshalfacre.html
Hidden Peak,46.37115,-114.46345,hiddenpeak.html,http://www.firelookout.com/id/hiddenpeak.html
Indian Hill,46.00029,-115.24476,indianhill.html,http://www.firelookout.com/id/indianhill.html
Lookout Butte,46.04591,-115.65941,lookoutbutte.html,http://www.firelookout.com/id/lookoutbutte.html
Oregon Butte,45.52164,-115.6688,oregonbutte.html,http://www.firelookout.com/id/oregonbutte.html
Pilot Knob,45.90547,-115.70838,pilotknob.html,http://www.firelookout.com/id/pilotknob.html
Salmon Mountain,45.6169,-114.83675,salmonMountain.html,http://www.firelookout.com/id/salmonMountain.html
Sheep Hill,45.58851,-115.0882,sheephill.html,http://www.firelookout.com/id/sheephill.html
Shissler Peak,46.16562,-114.93966,shissler.html,http://www.firelookout.com/id/shissler.html
Slate Point,45.59858,-116.13366,slatepoint.html,http://www.firelookout.com/id/slatepoint.html
Sourdough Peak,45.727,-115.81589,sourdough.html,http://www.firelookout.com/id/sourdough.html
Spot Mountain,45.78728,-114.85466,spotMountain.html,http://www.firelookout.com/id/spotMountain.html
Square Mountain,45.5969,-115.86155,squareMountain.html,http://www.firelookout.com/id/squareMountain.html
Stanley Butte,46.24777,-115.2104,stanleybutte.html,http://www.firelookout.com/id/stanleybutte.html
Black Butte,45.48955,-115.87505,blackbutte291.html,http://www.firelookout.com/id/blackbutte291.html
Gardiner Peak,45.96995,-114.76655,gardinerpeak.html,http://www.firelookout.com/id/gardinerpeak.html
Skookum Butte,46.66471,-114.39499,"<p><a target=""_blank"" href=""http://www.firelookout.com/mt/skookum.html",http://www.firelookout.com/mt/skookum.html
Arid Peak,47.35911,-115.76421,arid.html,http://www.firelookout.com/id/arid.html
Austin Ridge,46.35074,-115.67104,austinridge.html,http://www.firelookout.com/id/austinridge.html
Balancing Rock,46.71174,-115.58719,balancingrock.html,http://www.firelookout.com/id/balancingrock.html
Bald Mountain,47.03195,-116.57204,baldmtnid.html,http://www.firelookout.com/id/baldmtnid.html
Bertha Hill,46.76426,-115.79236,bertha.html,http://www.firelookout.com/id/bertha.html
Black Mountain,46.87895,-115.55169,blackmtn267.html,http://www.firelookout.com/id/blackmtn267.html
Castle Butte,46.43401,-115.21984,castlebutte.html,http://www.firelookout.com/id/castlebutte.html
Clarke Mountain,46.63027,-115.545,clarke.html,http://www.firelookout.com/id/clarke.html
Conrad Peak,47.15189,-115.466,conradpk.html,http://www.firelookout.com/id/conradpk.html
Dunn Peak,47.29464,-115.89955,dunnpk.html,http://www.firelookout.com/id/dunnpk.html
Eagle Point,46.80069,-115.53703,eaglepoint.html,http://www.firelookout.com/id/eaglepoint.html
Elk Butte,46.84084,-116.11757,elkbutteid.html,http://www.firelookout.com/id/elkbutteid.html
Hemlock Butte,46.47352,-115.62924,hemlockbutte.html,http://www.firelookout.com/id/hemlockbutte.html
Junction Mountain,46.69436,-115.278,junctionMountain.html,http://www.firelookout.com/id/junctionMountain.html
Kellogg Peak,47.48852,-116.12846,kelloggpeak.html,http://www.firelookout.com/id/kelloggpeak.html
Mallard Peak,46.93809,-115.52486,mallardpeak.html,http://www.firelookout.com/id/mallardpeak.html
Middle Sister,47.16823,-115.65397,middlesister.html,http://www.firelookout.com/id/middlesister.html
Osier Ridge,46.82736,-115.0155,osierridge.html,http://www.firelookout.com/id/osierridge.html
Rocky Point,46.58222,-114.66587,rockypt.html,http://www.firelookout.com/id/rockypt.html
St. Joe Baldy,47.36367,-116.41182,stjoebaldy.html,http://www.firelookout.com/id/stjoebaldy.html
Scurvy Mountain,46.68944,-115.13384,scurvyMountain.html,http://www.firelookout.com/id/scurvyMountain.html
Snow Peak,47.04527,-115.63286,snowpeak.html,http://www.firelookout.com/id/snowpeak.html
Surveyors Ridge,46.99411,-115.53362,surveyorsridge.html,http://www.firelookout.com/id/surveyorsridge.html
Walde Mountain,46.24549,-115.6343,waldeMountain.html,http://www.firelookout.com/id/waldeMountain.html
Wallow Mountain,46.843,-115.39373,wallowMountain.html,http://www.firelookout.com/id/wallowMountain.html
Weitas Butte,46.47045,-115.45218,weitas.html,http://www.firelookout.com/id/weitas.html
Buck Butte,46.59436,-115.97507,buckbutte.html,http://www.firelookout.com/id/buckbutte.html
Flynn Butte,46.98829,-116.64866,flynnbutte.html,http://www.firelookout.com/id/flynnbutte.html
Little Green Mountain,46.73305,-116.0938,littlegreenMountain.html,http://www.firelookout.com/id/littlegreenMountain.html
Liz Butte,46.44825,-115.33254,lizbutte.html,http://www.firelookout.com/id/lizbutte.html
Mission Mountain,47.0674333,-116.94395,missionMountain.html,http://www.firelookout.com/id/missionMountain.html
Rocky Point,46.84568,-116.87758,rockypoint272a.html,http://www.firelookout.com/id/rockypoint272a.html
Three Tree Butte,47.02958,-116.668,threetreebutte.html,http://www.firelookout.com/id/threetreebutte.html
Twin Crags,47.43465,-116.35715,twincrags.html,http://www.firelookout.com/id/twincrags.html
Zane Point,47.3029,-116.2817,zanepoint.html,http://www.firelookout.com/id/zanepoint.html
Faset Peak,47.93987,-116.33994,fasetpeak.html,http://www.firelookout.com/id/fasetpeak.html
Little Guard,47.79812,-116.00612,littleguard.html,http://www.firelookout.com/id/littleguard.html
Poirier Tree Farm,47.99813,-116.9974,poirier.html,http://www.firelookout.com/id/poirier.html
Spyglass Peak,47.84184,-116.19658,spyglasspk.html,http://www.firelookout.com/id/spyglasspk.html
Black Mountain,48.61038,-116.2577,blackmtnbf.html,http://www.firelookout.com/id/blackmtnbf.html
Burton Peak,48.75406,-116.49861,burtonpk.html,http://www.firelookout.com/id/burtonpk.html
Deer Ridge,48.84532,-116.10351,deerridge.html,http://www.firelookout.com/id/deerridge.html
Experimental Spur,48.34789,-116.8328,experimentalspur.html,http://www.firelookout.com/id/experimentalspur.html
Gisborne Mountain,48.34961,-116.75629,gisborne.html,http://www.firelookout.com/id/gisborne.html
Hughes Ridge,48.86707,-116.98653,hughes.html,http://www.firelookout.com/id/hughes.html
